epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,288.153,0.64026,0.34046,0.0036,0.9064,0.92328,0.9294,0.77854,0.59861,0.39756,0.00405,0.000726312,0.000726312,0.000726312
59,292.993,0.65386,0.34158,0.00355,0.94343,0.92045,0.92859,0.76443,0.62866,0.37136,0.00415,0.000709809,0.000709809,0.000709809
60,298.037,0.65163,0.34222,0.0035,0.89993,0.94318,0.94317,0.78031,0.60395,0.38033,0.00416,0.000693305,0.000693305,0.000693305
61,302.97,0.65556,0.35061,0.00351,0.94662,0.89538,0.92512,0.75759,0.62786,0.3835,0.0042,0.000676802,0.000676802,0.000676802
62,307.809,0.62854,0.29782,0.00343,0.94441,0.92063,0.9268,0.7762,0.62737,0.39967,0.00422,0.000660299,0.000660299,0.000660299
63,312.763,0.62605,0.32075,0.00344,0.93758,0.92045,0.93591,0.76966,0.6442,0.36545,0.00467,0.000643795,0.000643795,0.000643795
64,317.612,0.60801,0.3102,0.00339,0.95576,0.9034,0.92997,0.77276,0.64558,0.39948,0.00448,0.000627292,0.000627292,0.000627292
65,322.532,0.62922,0.33839,0.00348,0.95458,0.90594,0.94542,0.78058,0.6193,0.36082,0.00407,0.000610789,0.000610789,0.000610789
66,327.503,0.61443,0.34376,0.00343,0.94713,0.87561,0.93065,0.77781,0.61867,0.41405,0.00421,0.000594286,0.000594286,0.000594286
67,332.386,0.63384,0.32866,0.00357,0.96276,0.93182,0.94436,0.78221,0.65564,0.33696,0.00449,0.000577782,0.000577782,0.000577782
68,337.266,0.62035,0.33575,0.00354,0.9624,0.92045,0.93341,0.74963,0.68473,0.38194,0.00472,0.000561279,0.000561279,0.000561279
69,342.149,0.63134,0.32256,0.00354,0.95178,0.89376,0.91422,0.76687,0.60858,0.47037,0.00402,0.000544776,0.000544776,0.000544776
70,347.039,0.5679,0.2996,0.00307,0.94297,0.88636,0.92439,0.7543,0.66879,0.41856,0.0045,0.000528272,0.000528272,0.000528272
71,351.803,0.5886,0.32035,0.00332,0.90957,0.89217,0.90806,0.73926,0.67326,0.49363,0.00452,0.000511769,0.000511769,0.000511769
72,356.732,0.6124,0.2876,0.00345,0.95115,0.88222,0.92069,0.75112,0.6851,0.4194,0.00455,0.000495266,0.000495266,0.000495266
73,361.74,0.62968,0.32182,0.00332,0.93864,0.93182,0.9262,0.76005,0.64076,0.38664,0.00434,0.000478762,0.000478762,0.000478762
74,366.999,0.62988,0.31969,0.00339,0.95339,0.91832,0.92107,0.76381,0.63937,0.42638,0.00428,0.000462259,0.000462259,0.000462259
75,372.055,0.62192,0.31819,0.00348,0.94998,0.8813,0.89876,0.75021,0.63111,0.45843,0.00416,0.000445756,0.000445756,0.000445756
76,376.869,0.57379,0.2863,0.00321,0.96568,0.90508,0.91646,0.74792,0.65048,0.4303,0.00434,0.000429253,0.000429253,0.000429253
77,381.676,0.56934,0.28636,0.00307,0.95098,0.93182,0.92126,0.74666,0.67621,0.42044,0.00465,0.000412749,0.000412749,0.000412749
78,386.48,0.57179,0.28127,0.00302,0.95333,0.89773,0.9198,0.76712,0.61479,0.41183,0.00409,0.000396246,0.000396246,0.000396246
79,391.354,0.54448,0.27937,0.00291,0.94176,0.88381,0.9109,0.74112,0.65465,0.48679,0.00436,0.000379743,0.000379743,0.000379743
80,396.202,0.56189,0.3277,0.00306,0.94121,0.85778,0.91068,0.74086,0.69812,0.50242,0.0047,0.000363239,0.000363239,0.000363239
81,400.981,0.55423,0.27648,0.00297,0.94744,0.89773,0.91787,0.74799,0.65324,0.4604,0.00426,0.000346736,0.000346736,0.000346736
82,405.745,0.57496,0.3048,0.00315,0.94807,0.89508,0.92251,0.74785,0.65533,0.44011,0.00429,0.000330233,0.000330233,0.000330233
83,410.546,0.55922,0.28814,0.00301,0.95725,0.87867,0.92744,0.75349,0.66133,0.43302,0.00439,0.000313729,0.000313729,0.000313729
84,415.298,0.57308,0.30771,0.00312,0.96872,0.89442,0.92624,0.77482,0.58389,0.38272,0.00386,0.000297226,0.000297226,0.000297226
85,420.116,0.54347,0.29145,0.0029,0.90721,0.93182,0.929,0.76014,0.65882,0.39067,0.00439,0.000280723,0.000280723,0.000280723
86,424.854,0.55016,0.27681,0.00299,0.94936,0.9059,0.93069,0.77812,0.62656,0.38532,0.00428,0.00026422,0.00026422,0.00026422
87,429.644,0.54281,0.27325,0.00296,0.95923,0.89069,0.94062,0.76641,0.66428,0.40011,0.00444,0.000247716,0.000247716,0.000247716
88,434.474,0.55979,0.30669,0.00299,0.95455,0.89773,0.93396,0.76209,0.65925,0.39374,0.00442,0.000231213,0.000231213,0.000231213
89,439.292,0.53979,0.26742,0.00301,0.94661,0.89235,0.92842,0.76276,0.62177,0.42416,0.00413,0.00021471,0.00021471,0.00021471
90,444.158,0.55733,0.29574,0.00311,0.9731,0.88229,0.92838,0.77842,0.6022,0.39215,0.00408,0.000198206,0.000198206,0.000198206
91,465.842,0.48554,0.20977,0.00326,0.94785,0.87342,0.92242,0.75811,0.66171,0.50244,0.00445,0.000181703,0.000181703,0.000181703
92,470.277,0.45765,0.19065,0.00303,0.90977,0.85884,0.90052,0.74829,0.63217,0.52477,0.00415,0.0001652,0.0001652,0.0001652
93,474.702,0.45238,0.20169,0.00279,0.89845,0.86364,0.9102,0.75078,0.63473,0.4951,0.00416,0.000148696,0.000148696,0.000148696
94,479.221,0.44862,0.18123,0.00296,0.91535,0.86734,0.91377,0.75616,0.62386,0.46105,0.00419,0.000132193,0.000132193,0.000132193
95,483.646,0.44292,0.18476,0.00282,0.94101,0.87123,0.91388,0.7592,0.62398,0.47755,0.00411,0.00011569,0.00011569,0.00011569
96,488.135,0.44582,0.21972,0.00292,0.94206,0.87382,0.91627,0.75926,0.63035,0.4701,0.0041,9.91865e-05,9.91865e-05,9.91865e-05
97,492.617,0.43552,0.17953,0.00282,0.95409,0.875,0.92671,0.76549,0.63632,0.45936,0.0042,8.26832e-05,8.26832e-05,8.26832e-05
98,497.127,0.44164,0.19235,0.00291,0.9552,0.88379,0.9296,0.76918,0.63549,0.44314,0.0042,6.61799e-05,6.61799e-05,6.61799e-05
99,501.671,0.43924,0.20366,0.00277,0.956,0.88636,0.93022,0.76588,0.63768,0.44213,0.0042,4.96766e-05,4.96766e-05,4.96766e-05
100,506.203,0.42461,0.18465,0.00265,0.94751,0.90343,0.93201,0.76548,0.63775,0.43436,0.00418,3.31733e-05,3.31733e-05,3.31733e-05
