epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,940.468,0.57212,0.27164,0.00302,0.99949,0.99251,0.99494,0.86733,0.56682,0.16018,0.00461,0.00026422,0.00026422,0.00026422
87,950.217,0.61177,0.2704,0.00322,0.99701,1,0.995,0.87091,0.5586,0.15589,0.00448,0.000247716,0.000247716,0.000247716
88,959.856,0.60396,0.26706,0.00323,0.98379,1,0.99478,0.8681,0.55677,0.16235,0.00452,0.000231213,0.000231213,0.000231213
89,969.707,0.59662,0.25681,0.00313,0.9994,0.99277,0.99478,0.87244,0.55711,0.16286,0.00452,0.00021471,0.00021471,0.00021471
90,979.63,0.59562,0.2545,0.00314,0.99188,0.999,0.99489,0.86996,0.57172,0.16628,0.0047,0.000198206,0.000198206,0.000198206
91,1007.12,0.52838,0.18669,0.00327,1,0.99537,0.995,0.86376,0.5802,0.16973,0.0047,0.000181703,0.000181703,0.000181703
92,1015.96,0.51384,0.18944,0.00331,0.99441,0.99936,0.995,0.86869,0.57319,0.16329,0.00461,0.0001652,0.0001652,0.0001652
93,1024.7,0.51078,0.18503,0.00322,0.99692,0.99425,0.99494,0.8652,0.57716,0.16411,0.00469,0.000148696,0.000148696,0.000148696
94,1033.76,0.52325,0.19293,0.00337,0.99513,0.99924,0.995,0.86589,0.56386,0.16073,0.00455,0.000132193,0.000132193,0.000132193
95,1042.6,0.50519,0.18434,0.00315,0.98663,0.99425,0.99451,0.86759,0.57179,0.17227,0.0046,0.00011569,0.00011569,0.00011569
96,1051.57,0.50452,0.19269,0.00309,0.98844,0.99425,0.99477,0.8681,0.5716,0.16624,0.00462,9.91865e-05,9.91865e-05,9.91865e-05
97,1060.89,0.50438,0.17995,0.0031,0.98217,1,0.99472,0.86855,0.56776,0.16755,0.00457,8.26832e-05,8.26832e-05,8.26832e-05
98,1070.56,0.502,0.18066,0.00313,0.99752,0.99268,0.99494,0.8705,0.56363,0.16398,0.00452,6.61799e-05,6.61799e-05,6.61799e-05
99,1080.32,0.48761,0.16823,0.00296,0.99779,0.99146,0.99494,0.87106,0.56694,0.16314,0.00456,4.96766e-05,4.96766e-05,4.96766e-05
100,1089.94,0.48644,0.17835,0.00299,0.9973,0.99324,0.99494,0.86965,0.565,0.16349,0.00454,3.31733e-05,3.31733e-05,3.31733e-05
